,date,open,close,high,low,volume,code
0,2017-05-19,22.09,26.51,26.51,22.09,53.0,002873
1,2017-05-22,29.16,29.16,29.16,29.16,34.0,002873
2,2017-05-23,32.08,32.08,32.08,32.08,20.0,002873
3,2017-05-24,35.29,35.29,35.29,35.29,38.0,002873
4,2017-05-25,38.82,38.82,38.82,38.82,267.0,002873
5,2017-05-26,42.7,42.7,42.7,42.7,608.0,002873
6,2017-05-31,46.97,46.97,46.97,46.97,366.0,002873
7,2017-06-01,51.67,51.67,51.67,51.67,17184.0,002873
8,2017-06-02,48.88,47.62,50.16,46.66,83778.0,002873
9,2017-06-05,50.0,52.38,52.38,49.56,105523.0,002873
